identifier	slt	ink	demoted
1205.5935v1_EQ0109	0	3	no
1205.5935v1_EQ0110	0	0	no
1205.5935v1_EQ0116	0	7	no
1205.5935v1_EQ0118	0	4	no
1205.5935v1_EQ0128	0	0	no
1205.5935v1_EQ0129	0	3	no
1205.5935v1_EQ0130	0	22	no
1205.5935v1_EQ0131	0	11	no
1205.5935v1_EQ0132	0	6	no
1205.5935v1_EQ0135	0	2	no
1205.5935v1_EQ0140	0	13	no
1205.5935v1_EQ0141	0	5	no
1205.5935v1_EQ0143	0	5	no
1205.5935v1_EQ0150	0	2	no
1205.5935v1_EQ0151	0	0	no
1205.5935v1_EQ0152	0	3	no
1205.5935v1_EQ0157	0	17	no
1205.5935v1_EQ0158	0	4	no
1205.5935v1_EQ0163	0	4	no
1205.5935v1_EQ0166	0	24	no
1205.5935v1_EQ0167	0	11	no
1205.5935v1_EQ0168	0	8	no
1205.5935v1_EQ0171	0	4	no
1205.5935v1_EQ0173	0	0	no
1205.5935v1_EQ0174	0	13	no
1205.5935v1_EQ0176	0	0	no
1205.5935v1_EQ0177	0	1	no
1205.5935v1_EQ0179	0	4	no
1205.5935v1_EQ0184	0	0	no
1205.5935v1_EQ0188	0	6	no
1205.5935v1_EQ0190	0	3	no
1205.5935v1_EQ0199	0	12	no
1205.5935v1_EQ0200	0	0	no
1205.5935v1_EQ0202	0	3	no
1205.5935v1_EQ0204	0	29	no
1205.5935v1_EQ0209	0	0	no
1205.5935v1_EQ0210	0	0	no
1205.5935v1_EQ0211	0	4	no
1205.5935v1_EQ0212	0	5	no
1205.5935v1_EQ0213	0	6	no
1205.5935v1_EQ0214	0	2	no
1205.5935v1_EQ0218	0	1	no
1205.5935v1_EQ0220	0	6	no
1205.5935v1_EQ0223	0	2	no
1205.5935v1_EQ0235	0	13	no
1205.5935v1_EQ0236	0	17	no
1205.5935v1_EQ0237	0	15	no
1205.5935v1_EQ0239	0	8	no
1205.5935v1_EQ0241	0	2	no
1205.5935v1_EQ0245	0	4	no
1205.5935v1_EQ0247	0	7	no
1205.5935v1_EQ0251	0	12	no
1205.5935v1_EQ0258	0	16	no
1205.5935v1_EQ0260	0	5	no
1205.5935v1_EQ0266	0	1	no
1205.5935v1_EQ0267	0	4	no
1205.5935v1_EQ0269	0	0	no
1205.5935v1_EQ0270	0	2	no
1205.5935v1_EQ0271	0	0	no
1205.5935v1_EQ0281	0	2	no
1205.5935v1_EQ0284	0	3	no
1205.5935v1_EQ0285	0	2	no
1205.5935v1_EQ0286	0	5	no
1205.5935v1_EQ0287	0	0	no
1205.5935v1_EQ0288	0	2	no
1205.5935v1_EQ0289	0	5	no
1205.5935v1_EQ0290	0	1	no
1205.5935v1_EQ0291	0	8	no
1205.5935v1_EQ0292	0	1	no
1205.5935v1_EQ0293	0	6	no
1205.5935v1_EQ0295	0	6	no
1205.5935v1_EQ0298	0	6	no
1205.5935v1_EQ0301	0	2	no
1205.5935v1_EQ0303	0	1	no
1205.5935v1_EQ0313	0	5	no
1205.5935v1_EQ0314	0	5	no
1205.5935v1_EQ0315	0	6	no
1205.5935v1_EQ0316	0	2	no
1205.5935v1_EQ0318	0	4	no
1205.5935v1_EQ0321	0	11	no
1205.5935v1_EQ0322	0	0	no
1205.5935v1_EQ0324	0	3	no
1205.5935v1_EQ0326	0	2	no
1205.5935v1_EQ0331	0	1	no
1205.5935v1_EQ0334	0	0	no
1205.5935v1_EQ0335	0	8	no
1205.5935v1_EQ0336	0	0	no
1205.5935v1_EQ0337	0	4	no
1205.5935v1_EQ0338	0	0	no
1205.5935v1_EQ0339	0	4	no
1205.5935v1_EQ0340	0	2	no
1205.5935v1_EQ0341	0	0	no
